meter_id,time_stamp,record_status,total_energy_tot_imp_wh,total_energy_tot_exp_wh,total_energy_tot_imp_va,total_energy_tot_exp_va
BESS_01,2025-01-01 00:30:00,0,0.0,1.064,0,0
BESS_02,2025-01-01 00:30:00,0,0.0,1.187,0,0
BESS_03,2025-01-01 00:30:00,0,0.0,1.465,0,0
BESS_04,2025-01-01 00:30:00,0,0.0,2.204,0,0
SOLAR_01,2025-01-01 00:30:00,0,0.0,4.245,0,0
SOLAR_02,2025-01-01 00:30:00,0,0.0,4.864,0,0
SOLAR_03,2025-01-01 00:30:00,0,0.0,4.805,0,0
SOLAR_04,2025-01-01 00:30:00,0,0.0,3.678,0,0
SELF_01,2025-01-01 00:30:00,0,1.674,0.0,0,0
GRID_01,2025-01-01 00:30:00,0,0.0,21.839,0,0
DEST_01,2025-01-01 00:30:00,0,21.403,0.0,0,0
BESS_01,2025-01-01 01:00:00,0,0.0,3.802,0,0
BESS_02,2025-01-01 01:00:00,0,0.0,3.705,0,0
BESS_03,2025-01-01 01:00:00,0,0.0,2.785,0,0
BESS_04,2025-01-01 01:00:00,0,0.0,4.049,0,0
SOLAR_01,2025-01-01 01:00:00,0,0.0,7.356,0,0
SOLAR_02,2025-01-01 01:00:00,0,0.0,7.725,0,0
SOLAR_03,2025-01-01 01:00:00,0,0.0,9.859,0,0
SOLAR_04,2025-01-01 01:00:00,0,0.0,6.087,0,0
SELF_01,2025-01-01 01:00:00,0,3.244,0.0,0,0
GRID_01,2025-01-01 01:00:00,0,0.0,42.125,0,0
DEST_01,2025-01-01 01:00:00,0,41.284,0.0,0,0
BESS_01,2025-01-01 01:30:00,0,0.0,5.49,0,0
BESS_02,2025-01-01 01:30:00,0,0.0,5.234,0,0
BESS_03,2025-01-01 01:30:00,0,0.0,3.872,0,0
BESS_04,2025-01-01 01:30:00,0,0.0,5.968,0,0
SOLAR_01,2025-01-01 01:30:00,0,0.0,9.856,0,0
SOLAR_02,2025-01-01 01:30:00,0,0.0,13.415,0,0
SOLAR_03,2025-01-01 01:30:00,0,0.0,12.174,0,0
SOLAR_04,2025-01-01 01:30:00,0,0.0,9.26,0,0
SELF_01,2025-01-01 01:30:00,0,5.187,0.0,0,0
GRID_01,2025-01-01 01:30:00,0,0.0,60.082,0,0
DEST_01,2025-01-01 01:30:00,0,58.88,0.0,0,0
BESS_01,2025-01-01 02:00:00,0,0.0,7.213,0,0
BESS_02,2025-01-01 02:00:00,0,0.0,6.619,0,0
BESS_03,2025-01-01 02:00:00,0,0.0,5.011,0,0
BESS_04,2025-01-01 02:00:00,0,0.0,8.291,0,0
SOLAR_01,2025-01-01 02:00:00,0,0.0,14.948,0,0
SOLAR_02,2025-01-01 02:00:00,0,0.0,19.355,0,0
SOLAR_03,2025-01-01 02:00:00,0,0.0,17.596,0,0
SOLAR_04,2025-01-01 02:00:00,0,0.0,14.726,0,0
SELF_01,2025-01-01 02:00:00,0,6.757,0.0,0,0
GRID_01,2025-01-01 02:00:00,0,0.0,87.001,0,0
DEST_01,2025-01-01 02:00:00,0,85.262,0.0,0,0
BESS_01,2025-01-01 02:30:00,0,0.0,9.882,0,0
BESS_02,2025-01-01 02:30:00,0,0.0,7.944,0,0
BESS_03,2025-01-01 02:30:00,0,0.0,6.721,0,0
BESS_04,2025-01-01 02:30:00,0,0.0,10.631,0,0
SOLAR_01,2025-01-01 02:30:00,0,0.0,19.755,0,0
SOLAR_02,2025-01-01 02:30:00,0,0.0,24.09,0,0
SOLAR_03,2025-01-01 02:30:00,0,0.0,19.881,0,0
SOLAR_04,2025-01-01 02:30:00,0,0.0,19.265,0,0
SELF_01,2025-01-01 02:30:00,0,8.558,0.0,0,0
GRID_01,2025-01-01 02:30:00,0,0.0,109.611,0,0
DEST_01,2025-01-01 02:30:00,0,107.421,0.0,0,0
BESS_01,2025-01-01 03:00:00,0,0.0,11.806,0,0
BESS_02,2025-01-01 03:00:00,0,0.0,9.484,0,0
BESS_03,2025-01-01 03:00:00,0,0.0,9.572,0,0
BESS_04,2025-01-01 03:00:00,0,0.0,13.007,0,0
SOLAR_01,2025-01-01 03:00:00,0,0.0,22.634,0,0
SOLAR_02,2025-01-01 03:00:00,0,0.0,27.387,0,0
SOLAR_03,2025-01-01 03:00:00,0,0.0,24.955,0,0
SOLAR_04,2025-01-01 03:00:00,0,0.0,21.489,0,0
SELF_01,2025-01-01 03:00:00,0,10.791,0.0,0,0
GRID_01,2025-01-01 03:00:00,0,0.0,129.543,0,0
DEST_01,2025-01-01 03:00:00,0,126.953,0.0,0,0
BESS_01,2025-01-01 03:30:00,0,0.0,13.608,0,0
BESS_02,2025-01-01 03:30:00,0,0.0,10.616,0,0
BESS_03,2025-01-01 03:30:00,0,0.0,12.398,0,0
BESS_04,2025-01-01 03:30:00,0,0.0,15.142,0,0
SOLAR_01,2025-01-01 03:30:00,0,0.0,27.505,0,0
SOLAR_02,2025-01-01 03:30:00,0,0.0,30.237,0,0
SOLAR_03,2025-01-01 03:30:00,0,0.0,28.952,0,0
SOLAR_04,2025-01-01 03:30:00,0,0.0,27.028,0,0
SELF_01,2025-01-01 03:30:00,0,12.755,0.0,0,0
GRID_01,2025-01-01 03:30:00,0,0.0,152.732,0,0
DEST_01,2025-01-01 03:30:00,0,149.68,0.0,0,0
BESS_01,2025-01-01 04:00:00,0,0.0,14.888,0,0
BESS_02,2025-01-01 04:00:00,0,0.0,13.106,0,0
BESS_03,2025-01-01 04:00:00,0,0.0,14.476,0,0
BESS_04,2025-01-01 04:00:00,0,0.0,17.636,0,0
SOLAR_01,2025-01-01 04:00:00,0,0.0,31.219,0,0
SOLAR_02,2025-01-01 04:00:00,0,0.0,34.571,0,0
SOLAR_03,2025-01-01 04:00:00,0,0.0,32.4,0,0
SOLAR_04,2025-01-01 04:00:00,0,0.0,33.017,0,0
SELF_01,2025-01-01 04:00:00,0,13.963,0.0,0,0
GRID_01,2025-01-01 04:00:00,0,0.0,177.351,0,0
DEST_01,2025-01-01 04:00:00,0,173.807,0.0,0,0
BESS_01,2025-01-01 04:30:00,0,0.0,17.399,0,0
BESS_02,2025-01-01 04:30:00,0,0.0,15.828,0,0
BESS_03,2025-01-01 04:30:00,0,0.0,15.782,0,0
BESS_04,2025-01-01 04:30:00,0,0.0,18.956,0,0
SOLAR_01,2025-01-01 04:30:00,0,0.0,35.941,0,0
SOLAR_02,2025-01-01 04:30:00,0,0.0,38.957,0,0
SOLAR_03,2025-01-01 04:30:00,0,0.0,35.939,0,0
SOLAR_04,2025-01-01 04:30:00,0,0.0,37.401,0,0
SELF_01,2025-01-01 04:30:00,0,15.665,0.0,0,0
GRID_01,2025-01-01 04:30:00,0,0.0,200.538,0,0
DEST_01,2025-01-01 04:30:00,0,196.532,0.0,0,0
BESS_01,2025-01-01 05:00:00,0,0.0,19.506,0,0
BESS_02,2025-01-01 05:00:00,0,0.0,18.713,0,0
BESS_03,2025-01-01 05:00:00,0,0.0,18.142,0,0
BESS_04,2025-01-01 05:00:00,0,0.0,20.185,0,0
SOLAR_01,2025-01-01 05:00:00,0,0.0,41.48,0,0
SOLAR_02,2025-01-01 05:00:00,0,0.0,43.961,0,0
SOLAR_03,2025-01-01 05:00:00,0,0.0,41.013,0,0
SOLAR_04,2025-01-01 05:00:00,0,0.0,40.762,0,0
SELF_01,2025-01-01 05:00:00,0,17.105,0.0,0,0
GRID_01,2025-01-01 05:00:00,0,0.0,226.657,0,0
DEST_01,2025-01-01 05:00:00,0,222.13,0.0,0,0
BESS_01,2025-01-01 05:30:00,0,0.0,20.512,0,0
BESS_02,2025-01-01 05:30:00,0,0.0,21.157,0,0
BESS_03,2025-01-01 05:30:00,0,0.0,20.582,0,0
BESS_04,2025-01-01 05:30:00,0,0.0,23.129,0,0
SOLAR_01,2025-01-01 05:30:00,0,0.0,46.528,0,0
SOLAR_02,2025-01-01 05:30:00,0,0.0,47.991,0,0
SOLAR_03,2025-01-01 05:30:00,0,0.0,43.439,0,0
SOLAR_04,2025-01-01 05:30:00,0,0.0,45.263,0,0
SELF_01,2025-01-01 05:30:00,0,19.367,0.0,0,0
GRID_01,2025-01-01 05:30:00,0,0.0,249.233,0,0
DEST_01,2025-01-01 05:30:00,0,244.255,0.0,0,0
BESS_01,2025-01-01 06:00:00,0,0.0,21.91,0,0
BESS_02,2025-01-01 06:00:00,0,0.0,22.905,0,0
BESS_03,2025-01-01 06:00:00,0,0.0,21.905,0,0
BESS_04,2025-01-01 06:00:00,0,0.0,26.036,0,0
SOLAR_01,2025-01-01 06:00:00,0,0.0,52.218,0,0
SOLAR_02,2025-01-01 06:00:00,0,0.0,53.665,0,0
SOLAR_03,2025-01-01 06:00:00,0,0.0,47.834,0,0
SOLAR_04,2025-01-01 06:00:00,0,0.0,49.217,0,0
SELF_01,2025-01-01 06:00:00,0,20.535,0.0,0,0
GRID_01,2025-01-01 06:00:00,0,0.0,275.155,0,0
DEST_01,2025-01-01 06:00:00,0,269.659,0.0,0,0
BESS_01,2025-01-01 06:30:00,0,0.0,24.881,0,0
BESS_02,2025-01-01 06:30:00,0,0.0,25.519,0,0
BESS_03,2025-01-01 06:30:00,0,0.0,23.384,0,0
BESS_04,2025-01-01 06:30:00,0,0.0,27.517,0,0
SOLAR_01,2025-01-01 06:30:00,0,0.0,56.487,0,0
SOLAR_02,2025-01-01 06:30:00,0,0.0,55.98,0,0
SOLAR_03,2025-01-01 06:30:00,0,0.0,52.762,0,0
SOLAR_04,2025-01-01 06:30:00,0,0.0,54.481,0,0
SELF_01,2025-01-01 06:30:00,0,23.002,0.0,0,0
GRID_01,2025-01-01 06:30:00,0,0.0,298.009,0,0
DEST_01,2025-01-01 06:30:00,0,292.056,0.0,0,0
BESS_01,2025-01-01 07:00:00,0,0.0,26.132,0,0
BESS_02,2025-01-01 07:00:00,0,0.0,27.838,0,0
BESS_03,2025-01-01 07:00:00,0,0.0,26.278,0,0
BESS_04,2025-01-01 07:00:00,0,0.0,28.848,0,0
SOLAR_01,2025-01-01 07:00:00,0,0.0,60.598,0,0
SOLAR_02,2025-01-01 07:00:00,0,0.0,60.407,0,0
SOLAR_03,2025-01-01 07:00:00,0,0.0,58.619,0,0
SOLAR_04,2025-01-01 07:00:00,0,0.0,60.197,0,0
SELF_01,2025-01-01 07:00:00,0,25.135,0.0,0,0
GRID_01,2025-01-01 07:00:00,0,0.0,323.781,0,0
DEST_01,2025-01-01 07:00:00,0,317.312,0.0,0,0
BESS_01,2025-01-01 07:30:00,0,0.0,28.558,0,0
BESS_02,2025-01-01 07:30:00,0,0.0,29.636,0,0
BESS_03,2025-01-01 07:30:00,0,0.0,28.621,0,0
BESS_04,2025-01-01 07:30:00,0,0.0,30.594,0,0
SOLAR_01,2025-01-01 07:30:00,0,0.0,66.196,0,0
SOLAR_02,2025-01-01 07:30:00,0,0.0,64.213,0,0
SOLAR_03,2025-01-01 07:30:00,0,0.0,61.611,0,0
SOLAR_04,2025-01-01 07:30:00,0,0.0,62.453,0,0
SELF_01,2025-01-01 07:30:00,0,26.167,0.0,0,0
